LocationID,Borough,Zone,service_zone,"Zone, Borough"
1,EWR,Newark Airport,EWR,"Newark Airport, EWR"
2,Queens,Jamaica Bay,Boro Zone,"Jamaica Bay, Queens"
3,Bronx,Allerton/Pelham Gardens,Boro Zone,"Allerton/Pelham Gardens, Bronx"
4,Manhattan,Alphabet City,Yellow Zone,"Alphabet City, Manhattan"
5,Staten Island,Arden Heights,Boro Zone,"Arden Heights, Staten Island"
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"Arrochar/Fort Wadsworth, Staten Island"
7,Queens,Astoria,Boro Zone,"Astoria, Queens"
8,Queens,Astoria Park,Boro Zone,"Astoria Park, Queens"
9,Queens,Auburndale,Boro Zone,"Auburndale, Queens"
10,Queens,Baisley Park,Boro Zone,"Baisley Park, Queens"
11,Brooklyn,Bath Beach,Boro Zone,"Bath Beach, Brooklyn"
12,Manhattan,Battery Park,Yellow Zone,"Battery Park, Manhattan"
13,Manhattan,Battery Park City,Yellow Zone,"Battery Park City, Manhattan"
14,Brooklyn,Bay Ridge,Boro Zone,"Bay Ridge, Brooklyn"
15,Queens,Bay Terrace/Fort Totten,Boro Zone,"Bay Terrace/Fort Totten, Queens"
16,Queens,Bayside,Boro Zone,"Bayside, Queens"
17,Brooklyn,Bedford,Boro Zone,"Bedford, Brooklyn"
18,Bronx,Bedford Park,Boro Zone,"Bedford Park, Bronx"
19,Queens,Bellerose,Boro Zone,"Bellerose, Queens"
20,Bronx,Belmont,Boro Zone,"Belmont, Bronx"
21,Brooklyn,Bensonhurst East,Boro Zone,"Bensonhurst East, Brooklyn"
22,Brooklyn,Bensonhurst West,Boro Zone,"Bensonhurst West, Brooklyn"
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,"Bloomfield/Emerson Hill, Staten Island"
24,Manhattan,Bloomingdale,Yellow Zone,"Bloomingdale, Manhattan"
25,Brooklyn,Boerum Hill,Boro Zone,"Boerum Hill, Brooklyn"
26,Brooklyn,Borough Park,Boro Zone,"Borough Park, Brooklyn"
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,"Breezy Point/Fort Tilden/Riis Beach, Queens"
28,Queens,Briarwood/Jamaica Hills,Boro Zone,"Briarwood/Jamaica Hills, Queens"
29,Brooklyn,Brighton Beach,Boro Zone,"Brighton Beach, Brooklyn"
30,Queens,Broad Channel,Boro Zone,"Broad Channel, Queens"
31,Bronx,Bronx Park,Boro Zone,"Bronx Park, Bronx"
32,Bronx,Bronxdale,Boro Zone,"Bronxdale, Bronx"
33,Brooklyn,Brooklyn Heights,Boro Zone,"Brooklyn Heights, Brooklyn"
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,"Brooklyn Navy Yard, Brooklyn"
35,Brooklyn,Brownsville,Boro Zone,"Brownsville, Brooklyn"
36,Brooklyn,Bushwick North,Boro Zone,"Bushwick North, Brooklyn"
37,Brooklyn,Bushwick South,Boro Zone,"Bushwick South, Brooklyn"
38,Queens,Cambria Heights,Boro Zone,"Cambria Heights, Queens"
39,Brooklyn,Canarsie,Boro Zone,"Canarsie, Brooklyn"
40,Brooklyn,Carroll Gardens,Boro Zone,"Carroll Gardens, Brooklyn"
41,Manhattan,Central Harlem,Boro Zone,"Central Harlem, Manhattan"
42,Manhattan,Central Harlem North,Boro Zone,"Central Harlem North, Manhattan"
43,Manhattan,Central Park,Yellow Zone,"Central Park, Manhattan"
44,Staten Island,Charleston/Tottenville,Boro Zone,"Charleston/Tottenville, Staten Island"
45,Manhattan,Chinatown,Yellow Zone,"Chinatown, Manhattan"
46,Bronx,City Island,Boro Zone,"City Island, Bronx"
47,Bronx,Claremont/Bathgate,Boro Zone,"Claremont/Bathgate, Bronx"
48,Manhattan,Clinton East,Yellow Zone,"Clinton East, Manhattan"
49,Brooklyn,Clinton Hill,Boro Zone,"Clinton Hill, Brooklyn"
50,Manhattan,Clinton West,Yellow Zone,"Clinton West, Manhattan"
51,Bronx,Co-Op City,Boro Zone,"Co-Op City, Bronx"
52,Brooklyn,Cobble Hill,Boro Zone,"Cobble Hill, Brooklyn"
53,Queens,College Point,Boro Zone,"College Point, Queens"
54,Brooklyn,Columbia Street,Boro Zone,"Columbia Street, Brooklyn"
55,Brooklyn,Coney Island,Boro Zone,"Coney Island, Brooklyn"
56,Queens,Corona,Boro Zone,"Corona, Queens"
57,Queens,Corona,Boro Zone,"Corona, Queens"
58,Bronx,Country Club,Boro Zone,"Country Club, Bronx"
59,Bronx,Crotona Park,Boro Zone,"Crotona Park, Bronx"
60,Bronx,Crotona Park East,Boro Zone,"Crotona Park East, Bronx"
61,Brooklyn,Crown Heights North,Boro Zone,"Crown Heights North, Brooklyn"
62,Brooklyn,Crown Heights South,Boro Zone,"Crown Heights South, Brooklyn"
63,Brooklyn,Cypress Hills,Boro Zone,"Cypress Hills, Brooklyn"
64,Queens,Douglaston,Boro Zone,"Douglaston, Queens"
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,"Downtown Brooklyn/MetroTech, Brooklyn"
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,"DUMBO/Vinegar Hill, Brooklyn"
67,Brooklyn,Dyker Heights,Boro Zone,"Dyker Heights, Brooklyn"
68,Manhattan,East Chelsea,Yellow Zone,"East Chelsea, Manhattan"
69,Bronx,East Concourse/Concourse Village,Boro Zone,"East Concourse/Concourse Village, Bronx"
70,Queens,East Elmhurst,Boro Zone,"East Elmhurst, Queens"
71,Brooklyn,East Flatbush/Farragut,Boro Zone,"East Flatbush/Farragut, Brooklyn"
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,"East Flatbush/Remsen Village, Brooklyn"
73,Queens,East Flushing,Boro Zone,"East Flushing, Queens"
74,Manhattan,East Harlem North,Boro Zone,"East Harlem North, Manhattan"
75,Manhattan,East Harlem South,Boro Zone,"East Harlem South, Manhattan"
76,Brooklyn,East New York,Boro Zone,"East New York, Brooklyn"
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,"East New York/Pennsylvania Avenue, Brooklyn"
78,Bronx,East Tremont,Boro Zone,"East Tremont, Bronx"
